SampleSet,AIN0,AIN1,AIN2,AIN3
1,1476,6462560,3351253,398514
2,1450,6449212,3395318,596274
3,1460,6455677,3377952,761110
4,1507,6469174,3231647,932081
5,1464,6463097,3211857,1053530
6,1490,6466345,3259759,1157929
7,1448,6444359,3246941,1245533
8,1467,6445321,3161966,1327894
9,1478,6431851,2971384,1394515
10,1472,6459770,2977707,1460205
11,1468,6435575,3055144,1421111
12,1460,6473824,2982921,1451604
13,1497,6383615,2994449,1444620
14,1471,6481007,2997231,1565093
15,1500,6483844,2999722,1547669
16,1459,6450027,2952267,1600200
17,1459,6443471,2989405,1649576
18,1468,6428704,2988871,1686283
19,1503,6442678,2992176,1712700
20,1474,6465225,3010014,1744689
21,1443,6451258,2955459,1834270
22,1476,6433463,2917607,1887451
23,1462,6447160,2988401,1899824
24,1503,6459607,3003540,1855342
25,1464,6470460,2957140,1874698
26,1480,6449945,2969691,1951200
27,1499,6438974,2982273,1903940
28,1509,6453053,2974629,2016633
29,1469,6487708,2972799,2010684
30,1436,6446617,2968471,2018616
31,1460,6423504,2981288,2014710
32,1486,6429333,2980235,1933952
33,1455,6434033,2720768,1932665
34,1444,6455768,2741145,1929455
35,1452,6459841,2704798,1934490
36,1477,6448781,2792054,1938473
37,1456,6434475,2811631,1941182
38,1429,6453066,2766522,2018090
39,1459,6464441,2784797,2023414
40,1484,6447169,2867157,2023737
41,1465,6426911,2829793,1971416
42,1484,6425941,2880490,2013799
43,1450,6442314,2823854,1492165
44,1456,6446153,2826004,1477866
45,1471,6438043,2874333,1572251
46,1445,6461509,2319207,1540715
47,1468,6446258,2360328,1585555
48,1479,6449770,2182341,1616696
49,1467,6442676,2248322,1646408
50,1492,6454287,2294909,1668642
51,1510,6449205,2415856,1755122
52,1466,6463717,2390756,1708506
53,1465,6487537,2433344,1728912
54,1478,6442688,2055759,1743011
55,1460,6433884,2065549,1822341
56,1476,6458433,2138923,1827750
57,1460,6437854,2199723,1773965
58,1452,6436634,2256812,1784868
59,1442,6429775,2315550,1800999
60,1457,6428930,2361772,1801648
61,1418,6452619,2384206,1816276
62,1494,6426518,2435489,1896253
63,1465,6385298,2548967,1839029
64,1443,6465897,2518125,1893521
65,1422,6429798,2555916,1835512
66,1461,6431076,2595342,1851510
67,1479,6420691,2684790,1865276
68,1454,6441249,2662332,1800383
69,1470,6462629,2563887,1789865
70,1439,6450968,2596451,1808964
71,1443,6424922,2674194,1890416
72,1481,6422817,2647245,1850102
73,1466,6423504,2746505,1867065
74,1459,6424304,2702488,1951578
75,1494,6423519,2796505,1964436
76,1450,6424751,2816949,1908835
77,1465,6422738,2770997,1923191
78,1442,6433532,2862668,1937749
79,1454,6390784,2877766,1963965
80,1433,6437938,2833972,1852059
81,1463,6363683,2848129,1866648
82,1450,6424776,2922063,1878946
83,1484,6427645,2934986,1956652
84,1456,6442052,2948154,1909197
85,1452,6438165,2903784,1923574
86,1445,6432877,2914316,1927216
87,1483,6431299,2989977,1906828
88,1467,6429880,2990136,1916492
89,1494,6426460,2998175,1925913
90,1461,6429596,3004500,1933717
91,1463,6390359,3010982,1942019
92,1454,6438577,2962387,2020777
93,1436,6397819,2977935,1968144
94,1441,6361510,3056642,1977602
95,1468,6358076,3073288,1990327
96,1482,6431917,3016227,2003127
97,1422,6436257,3030974,2079201
98,1450,6425034,3034390,2080949
99,1452,6436469,3030738,2078948
100,1446,6430913,3037989,2012131
101,1461,6428232,3040300,2011368
102,1459,6443961,3041924,2078953
103,1453,6431661,3043624,2081351
104,1471,6427373,3123138,2092845
105,1456,6448862,3133597,2036540
106,1423,6463372,3133741,2039372
107,1437,6451798,3127232,2038744
108,1438,6455913,3127778,2039851
109,1428,6449907,3128913,2040942
110,1472,6450875,3130272,2042204
111,1419,6437733,3131090,2043205
112,1401,6451759,3132601,2045046
113,1408,6442756,3134113,2054002
114,1436,6447067,3144869,2053195
115,1446,6444624,3142674,2059301
116,1437,6429288,3084624,2064244
117,1445,6443685,3092706,2069833
118,1441,6457562,3099524,2074678
119,1463,6442446,3107228,2145379
120,1463,6436469,3113704,2147691
121,1463,6432496,3191154,2152986
122,1449,6436016,3198586,2155502
123,1457,6428511,3208239,2159215
124,1449,6433985,3210114,2159253
125,1472,6431917,3150175,2097161
126,1460,6423994,3156237,2100457
127,1446,6429523,3162340,2101053
128,1448,6430906,3152361,2156067
129,1452,6430012,3208191,2152351
130,1445,6425194,3205654,2151739
131,1445,6432239,3201730,2149433
132,1434,6422626,3197242,2146454
133,1460,6429099,3191570,2142990
134,1443,6487401,3196942,2148381
135,1455,6427654,3202487,2152503
136,1491,6487099,3207084,2154151
137,1472,6436145,3148649,2158353
138,1451,6431007,3156304,2097722
139,1463,6485412,3164180,2102962
140,1503,6428170,3170363,2106264
141,1454,6486399,3174351,2108607
142,1438,6425677,3178056,2110981
143,1435,6483477,3247839,2113881
144,1442,6429559,3251773,2116405
145,1490,6423975,3179612,2118298
146,1481,6376305,3172630,2113491
147,1441,6425538,3168856,2116794
148,1433,6424578,3164611,2113558
149,1453,6429438,3159470,2108833
150,1442,6425506,3146704,2102851
151,1444,6435199,3205781,2097932
152,1476,6423279,3201660,2159746
153,1452,6487284,3197115,2155553
154,1486,6486344,3193179,2152939
155,1486,6424253,3189985,2150490
156,1476,6430775,3187846,2149144
157,1461,6423640,3184983,2146770
158,1468,6424459,3190829,2150581
159,1450,6436631,3195219,2153935
160,1439,6357923,3199801,2156041
161,1449,6485932,3184439,2125186
162,1430,6461515,3195925,2127913
163,1439,6445243,3204966,2130201
164,1449,6458184,3205409,2126855
165,1463,6486785,3197498,2122720
166,1442,6449335,3195665,2117549
167,1460,6445940,3201848,2119073
168,1462,6450891,3207590,2121283
169,1449,6446847,3146557,2122533
170,1469,6451470,3151206,2121660
171,1453,6434577,3158530,2123135
172,1432,6449403,3165612,2126422
173,1423,6437425,3173044,2129223
174,1457,6435539,3177346,2130175
175,1438,6440927,3237765,2130686
176,1448,6436247,3176669,2131236
177,1471,6434139,3246991,2132748
178,1454,6436830,3251849,2134159
179,1480,6439501,3256646,2135909
180,1491,6432559,3250432,2130530
181,1447,6431924,3174133,2122886
182,1442,6439608,3170141,2119375
183,1470,6436685,3164103,2114916
184,1467,6437397,3155269,2111330
185,1473,6429257,3148446,2106241
186,1443,6436633,3208888,2102324
187,1467,6433550,3203779,2098309
188,1472,6430501,3199344,2160056
189,1478,6433269,3195727,2157134
190,1440,6423548,3193650,2155822
191,1432,6429845,3191756,2160597
192,1463,6432173,3198051,2156167
193,1438,6454973,3186094,2148571
194,1465,6456795,3181323,2076605
195,1460,6437799,3110348,2068682
196,1484,6368171,3184663,2071206
197,1456,6455068,3192685,2063054
198,1471,6380780,3193507,2048325
199,1479,6359376,3190334,2048448
200,1460,6452821,3181957,2057410
201,1472,6466472,3108722,2053366
202,1453,6440981,3181208,2059540
203,1453,6444638,3190840,2067151
204,1427,6436386,3188700,2066595
205,1456,6433453,3186497,2066326
206,1450,6439856,3184175,2066539
207,1445,6432708,3112978,2063903
208,1423,6437988,3111674,2064050
209,1435,6437730,3109535,2062898
210,1425,6428792,3105518,2061264
211,1438,6435248,3102885,2067449
212,1439,6438432,3110823,2072950
213,1429,6433104,3183364,2076001
214,1478,6438365,3192587,2147103
215,1432,6424963,3201879,2153938
216,1433,6433691,3146562,2159955
217,1450,6433301,3153676,2098452
218,1417,6432940,3159111,2101634
219,1458,6433042,3163938,2097871
220,1498,6425584,3158329,2160114
221,1459,6426473,3153497,2157533
222,1464,6435581,3208788,2154717
223,1420,6425107,3204392,2152124
224,1462,6429249,3201654,2151130
225,1452,6427150,3202036,2151619
226,1423,6431586,3198750,2149369
227,1446,6428157,3188090,2076868
228,1462,6434048,3184443,2074911
229,1440,6427977,3181913,2066885
230,1476,6459841,3112613,2064240
231,1442,6376319,3109701,2062573
232,1463,6424813,3105618,2061693
233,1463,6438400,3104701,2061476
234,1484,6431095,3113131,2067599
235,1454,6447128,3184038,2043977
236,1495,6444319,3114871,2038743
237,1488,6482340,3110992,2039928
238,1437,6486120,3106604,2040768
239,1449,6461242,3113360,2048963
240,1467,6380362,3185268,2055474
241,1455,6440216,3192460,2063379
242,1451,6433760,3188765,2069737
243,1451,6485263,3194881,2074736
244,1465,6436325,3198064,2143534
245,1487,6450049,3201903,2147778
246,1476,6437868,3205088,2152593
247,1495,6419141,3145928,2157210
248,1449,6435923,3152525,2161833
249,1422,6426784,3159624,2100294
250,1473,6480831,3167034,2105323
251,1477,6424851,3174055,2109259
252,1443,6451772,3176422,2073478
253,1446,6440735,3176783,2144548
254,1447,6436580,3179101,2147882
255,1424,6439645,3249164,2153086
256,1431,6433394,3253836,2158831
257,1481,6433860,3258234,2098293
258,1415,6435006,3263327,2104194
259,1454,6427647,3268542,2109409
260,1451,6430898,3271370,2112783
261,1467,6438483,3273340,2114768
262,1434,6455574,3263889,2112557
263,1456,6435499,3267585,2155165
264,1433,6427906,3260444,2148519
265,1440,6433696,3254012,2144120
266,1456,6464909,3253558,2146081
267,1439,6438861,2824410,2143472
268,1450,6424671,2851991,2144342
269,1423,6434065,2942781,2143998
270,1453,6435687,2900843,2072837
271,1466,6429600,2908566,2064071
272,1456,6425704,2920285,2060485
273,1436,6488048,2996437,2057338
274,1426,6431810,2951050,2062652
275,1435,6427526,2960608,2059440
276,1472,6429859,2967133,2055952
277,1429,6430676,2981975,2059060
278,1485,6424880,3061991,2062934
279,1456,6432270,3074473,2063410
280,1443,6428394,3025123,2067964
281,1414,6431299,3037603,2072574
